MJD;X;sigma_X;Y;sigma_Y;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;dX;sigma_dX;dY;sigma_dY;bulB/X;bulB/Y;bulB/UT1-UTC;bulB/dX;bulB/dY
48746;-0.139222;0.000289;0.236590;0.000262;-0.4458075;0.0000103;2.0915;0.0085;0.170;0.156;0.049;0.130;-.138800;.235700;-.4458900;0.100;-0.963
48747;-0.141179;0.000285;0.238683;0.000302;-0.4478448;0.0000119;1.9970;0.0078;0.147;0.140;-0.038;0.130;-.140500;.238100;-.4479500;0.101;-0.909
48748;-0.142843;0.000285;0.240844;0.000302;-0.4498324;0.0000118;1.9950;0.0122;0.090;0.139;-0.217;0.109;-.142000;.240500;-.4499600;0.004;-0.738
48749;-0.144137;0.000285;0.243163;0.000302;-0.4518697;0.0000214;2.0977;0.0142;0.060;0.139;-0.290;0.109;-.143500;.243000;-.4520300;-0.072;-0.539
48750;-0.145132;0.000283;0.245691;0.000257;-0.4540569;0.0000258;2.2879;0.0179;0.070;0.141;-0.238;0.104;-.144900;.245500;-.4542500;-0.121;-0.510
48751;-0.145935;0.000387;0.248445;0.000284;-0.4564552;0.0000287;2.5074;0.0176;0.117;0.245;-0.155;0.298;-.146200;.248000;-.4566700;-0.130;-0.391
48752;-0.146673;0.000318;0.251345;0.000297;-0.4590606;0.0000240;2.6935;0.0188;0.193;0.285;-0.081;0.298;-.147400;.250600;-.4592700;-0.131;-0.368
48753;-0.147472;0.000283;0.254287;0.000232;-0.4618152;0.0000244;2.7985;0.0173;0.288;0.271;-0.025;0.298;-.148400;.253100;-.4620200;-0.150;-0.306
48754;-0.148454;0.000345;0.257172;0.000198;-0.4646212;0.0000249;2.7943;0.0162;0.391;0.309;0.022;0.298;-.149400;.255700;-.4648100;-0.132;-0.360
48755;-0.149649;0.000371;0.259906;0.000224;-0.4673761;0.0000212;2.7070;0.0156;0.446;0.262;0.075;0.112;-.150200;.258200;-.4675800;-0.073;-0.588
48756;-0.150882;0.000384;0.262412;0.000233;-0.4700135;0.0000189;2.5547;0.0126;0.400;0.250;0.169;0.106;-.151000;.260700;-.4702000;0.000;-0.751
48757;-0.151938;0.000332;0.264721;0.000219;-0.4724669;0.0000135;2.3465;0.0112;0.305;0.192;0.192;0.135;-.151600;.263100;-.4726300;0.123;-0.629
48758;-0.152668;0.000286;0.266896;0.000205;-0.4747057;0.0000122;2.1360;0.0105;0.194;0.150;-0.009;0.125;-.152200;.265600;-.4748600;0.153;-0.437
48759;-0.153094;0.000363;0.269015;0.000249;-0.4767546;0.0000162;1.9727;0.0109;0.096;0.113;-0.279;0.138;-.152800;.268000;-.4769000;0.073;-0.229
48760;-0.153318;0.000371;0.271163;0.000247;-0.4786754;0.0000180;1.8823;0.0124;0.071;0.113;-0.331;0.138;-.153300;.270400;-.4788200;0.013;-0.172
48761;-0.153486;0.000278;0.273416;0.000426;-0.4805461;0.0000189;1.8725;0.0129;0.126;0.264;-0.188;0.109;-.153700;.272800;-.4806900;-0.083;-0.403
48762;-0.153696;0.000230;0.275821;0.000335;-0.4824415;0.0000186;1.9261;0.0133;0.202;0.278;-0.053;0.159;-.154200;.275200;-.4825800;-0.122;-0.587
48763;-0.153931;0.000211;0.278344;0.000325;-0.4844096;0.0000186;2.0138;0.0142;0.211;0.272;0.035;0.137;-.154600;.277600;-.4845400;-0.179;-0.646
48764;-0.154201;0.000172;0.280932;0.000357;-0.4864697;0.0000214;2.1033;0.0135;0.094;0.317;0.060;0.157;-.155000;.280000;-.4865900;-0.258;-0.522
48765;-0.154578;0.000204;0.283548;0.000449;-0.4886161;0.0000196;2.1926;0.0144;-0.011;0.288;0.059;0.144;-.155400;.282400;-.4887500;-0.344;-0.327
48766;-0.155098;0.000204;0.286177;0.000449;-0.4908549;0.0000194;2.2821;0.0119;-0.049;0.288;0.063;0.144;-.155900;.284700;-.4910000;-0.466;-0.227
48767;-0.155754;0.000183;0.288747;0.000442;-0.4931717;0.0000135;2.3460;0.0124;-0.058;0.226;0.060;0.154;-.156300;.287100;-.4933200;-0.621;-0.268
48768;-0.156529;0.000364;0.291166;0.000355;-0.4955335;0.0000156;2.3696;0.0110;-0.094;0.178;0.038;0.298;-.156600;.289500;-.4956700;-0.626;-0.342
48769;-0.157360;0.000389;0.293386;0.000460;-0.4978900;0.0000174;2.3304;0.0107;-0.175;0.154;-0.028;0.101;-.157000;.291800;-.4980000;-0.565;-0.335
48770;-0.158042;0.000384;0.295493;0.000530;-0.5001684;0.0000146;2.2136;0.0117;-0.238;0.132;-0.113;0.141;-.157300;.294200;-.5002600;-0.395;-0.280
48771;-0.158357;0.000387;0.297596;0.000451;-0.5023018;0.0000155;2.0504;0.0102;-0.220;0.123;-0.160;0.145;-.157500;.296500;-.5023900;-0.239;-0.319
48772;-0.158217;0.000403;0.299797;0.000431;-0.5042647;0.0000143;1.8735;0.0108;-0.147;0.126;-0.062;0.167;-.157600;.298900;-.5043500;-0.106;-0.402
48773;-0.157787;0.000380;0.302139;0.000367;-0.5060482;0.0000151;1.6949;0.0108;-0.078;0.120;0.063;0.168;-.157700;.301200;-.5061400;-0.029;-0.583
